student id,Gender,Aptitude Test,GRE Score,University Ranking,GPA Range,Out of State Flag,Housing,Non-Traditional Student,Campus Name,Program,Session,Race,Country,Financial Aid,Transfer Student,Full-Time
063-94-5787,Female,GRE,294.0,Top Half,3.50-3.74,No,College Owned/Operated,No,University of MissouriMissouri University of Science and Techn,TESOL,SM22,Arabs,Saudi Arabia,Yes,No,Yes
087-69-1661,Male,GRE,335.0,Pass,2.50-2.99,Yes,Off-Campus,No,Brookdale Community CollegeBrookdale Community College,IELP/ENVM,SP22,Kazakhs,Kazakhstan,No,No,Yes
029-73-6936,Female,GRE,311.0,Top Half,3.75+,No,College Owned/Operated,No,University of Mary Hardin-BaylorUniversity of Mary Hardin-Baylor,IELP/MBA,FA22,Akan ,Ghana,Yes,No,Yes
142-06-2365,Female,GRE,305.0,Pass,3.00-3.24,Yes,Off-Campus,Yes,Virginia Christian UniversityVirginia Christian University,IELP/UG,FA22,White Irish,Ireland,Yes,No,Yes
908-15-8566,Male,GRE,327.0,Bottom Half,3.50-3.74,No,College Owned/Operated,No,"University of Maryland, Baltimore CountyUniversity of Maryland, Baltimore County",IELP/MBA,FA22,Voltaiques,Cote D'Ivoire,Yes,No,Yes
660-80-3500,Female,GRE,299.0,Pass,2.50-2.99,Yes,Off-Campus,No,Underwood UniversityUnderwood University,IELP/MSASA,FA21,Chhetri ,Nepal,Yes,No,Yes
480-85-4907,Female,GRE,321.0,Top Quarter,2.50-2.99,No,College Owned/Operated,No,Taylor Business InstituteTaylor Business Institute,HINF,FA22,Asian,India,Yes,No,Yes
592-74-8020,Male,GRE,334.0,Bottom Half,2.50-2.99,No,College Owned/Operated,No,Savannah State UniversitySavannah State University,IELP/ENVM,SP22,Indo-Aryan,Bangladesh,Yes,No,Yes
040-69-9565,Male,GRE,326.0,Pass,3.25-3.49,Yes,College Owned/Operated,No,Taylor Business InstituteTaylor Business Institute,IELP/MSESHM,FA21,Chhetri ,Nepal,No,Yes,Yes
208-40-1302,Male,GRE,322.0,Bottom Half,2.50-2.99,Yes,College Owned/Operated,No,Wayne State CollegeWayne State College,MHSI,SP22,Kinh,Vietnam,Yes,No,No
197-07-3106,Female,GRE,314.0,Top Half,3.50-3.74,No,College Owned/Operated,Yes,Washington University of VirginiaWashington Campus,MAE,FA22,Arabs,Jordan,Yes,No,No
598-37-6498,Female,GRE,317.0,Pass,3.25-3.49,Yes,Off-Campus,No,Oklahoma City UniversityOklahoma City University,IELP/MBA,SP22,Arabs,Jordan,No,No,Yes
233-27-2536,Female,GRE,291.0,Pass,3.00-3.24,Yes,Off-Campus,No,Virginia Christian UniversityVirginia Christian University,IELP/ENVM,FA21,Arabs,Morocco,No,Yes,No
511-15-7389,Male,GRE,299.0,Pass,3.25-3.49,Yes,Off-Campus,No,Oklahoma Christian UniversityOklahoma Christian University,IELP/TESOL,SP22,White British,United Kingdom,Yes,No,Yes
375-02-8981,Female,GRE,326.0,Pass,2.0-2.49,Yes,Off-Campus,No,Ivy Tech Community College of IndianaIvy Tech Community Coll - Indianapolis,IELP/UNDG,FA21,Akan ,Ghana,No,Yes,No
858-12-6981,Female,GRE,319.0,Bottom Half,3.00-3.24,No,College Owned/Operated,No,University of North TexasUniversity of North Texas,IELP/HINF,FA21,Kazakhs,Kazakhstan,Yes,No,No
324-45-6240,Male,GRE,332.0,Pass,1.0-1.99,Yes,Off-Campus,No,Wilmington UniversityNew Castle,UG,SM22,Akan ,Ghana,No,No,Yes
001-88-6524,Male,GRE,293.0,Bottom Half,2.50-2.99,No,College Owned/Operated,No,Seminole State College of FloridaHeathrow Center,MSASA,SM22,Arabs,Saudi Arabia,Yes,No,No
496-39-0228,Male,GRE,325.0,Pass,2.50-2.99,Yes,Off-Campus,No,Harrisburg University of Science & Technology,IELP,FA21,Voltaiques,Cote D'Ivoire,Yes,No,Yes
789-03-4875,Male,GRE,335.0,Top Half,3.75+,No,College Owned/Operated,No,Ivy Tech Community College of IndianaIvy Tech Community Coll - Indianapolis,ENVM,FA22,Arabs,Jordan,Yes,Yes,Yes
138-15-4951,Male,GRE,329.0,Pass,3.00-3.24,Yes,Off-Campus,No,Harrisburg University of Science & Technology,IELP/UNDG,FA21,Arabs,Morocco,No,Yes,No
833-77-5736,Male,GRE,290.0,Pass,3.25-3.49,Yes,Off-Campus,No,Webster UniversityWebster University,IELP/MSASA,SP22,Chhetri ,Nepal,No,Yes,No
294-49-3296,Female,GRE,317.0,Top Half,3.00-3.24,No,College Owned/Operated,No,University of North TexasUniversity of North Texas,MBA,FA21,Voltaiques,Cote D'Ivoire,No,Yes,Yes
574-97-1089,Male,GRE,326.0,Pass,2.50-2.99,Yes,Off-Campus,No,Shaw UniversityShaw University,IELP/TESOL,FA21,White British,United Kingdom,No,Yes,No
759-27-3688,Female,GRE,308.0,Pass,1.0-1.99,Yes,Off-Campus,No,Columbus Techincal College,IELP/MBA,SP22,Arabs,Saudi Arabia,No,No,Yes
285-92-8041,Female,GRE,320.0,Pass,1.0-1.99,Yes,Off-Campus,No,St. Cloud State UniversitySt. Cloud State University,IELP,FA22,Indo-Aryan,Bangladesh,No,Yes,No
406-80-1848,Trans,GRE,301.0,Top Half,3.25-3.49,No,College Owned/Operated,No,Monroe CollegeMonroe College1,IELP/EDUC,FA22,Asian,China,Yes,No,No
766-99-2206,Female,GRE,319.0,Top Half,2.50-2.99,No,College Owned/Operated,No,Wright State University,IELP ,FA22,Arabs,Saudi Arabia,Yes,No,Yes
474-48-7485,Male,GRE,324.0,Top 10,2.50-2.99,No,College Owned/Operated,Yes,St. Cloud State UniversitySt. Cloud State University,TESOL,SM22,White British,United Kingdom,Yes,No,No
175-73-9067,Female,GRE,327.0,Bottom Quarter,3.75+,No,College Owned/Operated,No,Southern Arkansas UniversitySouthern Arkansas University,IELP/ENVM,SP22,Chhetri ,Nepal,Yes,No,Yes
541-19-8067,Male,GRE,303.0,Top Quarter,3.00-3.24,No,College Owned/Operated,No,Oklahoma City UniversityOklahoma City University,IELP/UNDG,SM22,Filipino,Philippines,Yes,No,Yes
012-29-6433,Female,GRE,311.0,Bottom Half,3.50-3.74,No,College Owned/Operated,No,Indiana Wesleyan UniversityIWU- Florence Education Center,MBA,SP22,African,Congo,Yes,No,Yes
179-57-8354,Male,GRE,312.0,Pass,3.25-3.49,Yes,Off-Campus,No,Harrisburg University of Science & Technology,UG,SM22,Arabs,Morocco,No,No,Yes
940-85-9851,Female,GRE,307.0,Pass,1.0-1.99,Yes,Off-Campus,Yes,American English CollegeAmerican English College,HINF,SP22,Chhetri ,Nepal,No,No,Yes
457-30-0188,Male,GRE,326.0,Pass,3.00-3.24,Yes,Off-Campus,No,University of North AmericaUoNA Main Campus,IELP ,SP22,Asian,India,No,Yes,No
209-86-9696,Male,GRE,323.0,Top Quarter,3.00-3.24,No,Off-Campus,No,University of Fairfax,TESOL,FA21,Arabs,Jordan,Yes,No,Yes
300-24-5345,Female,GRE,318.0,Pass,2.0-2.49,Yes,Off-Campus,No,"New York General Consulting, Inc.",IELP/UG,SM22,Arabs,Morocco,No,No,Yes
432-90-6176,Female,GRE,295.0,Bottom Half,3.00-3.24,No,College Owned/Operated,No,Brookdale Community College,IELP/UG,SM22,Voltaiques,Cote D'Ivoire,Yes,No,Yes
765-41-4887,Male,GRE,330.0,Bottom Half,3.50-3.74,No,Off-Campus,No,University of the PotomacUniversity of the Potomac,ENVM,SM22,Arabs,Morocco,Yes,No,No
072-48-2652,Female,GRE,307.0,Bottom Half,2.50-2.99,No,College Owned/Operated,Yes,Governors State University,IELP/MBA,SM22,Akan ,Ghana,Yes,No,Yes
745-67-1695,Female,GRE,294.0,Top Half,2.50-2.99,No,College Owned/Operated,No,Southern Arkansas University,HINF,FA22,Chhetri ,Nepal,Yes,No,No
905-47-8387,Female,GRE,294.0,Pass,2.0-2.49,Yes,Off-Campus,No,Piedmont Technical College,MBA,FA22,Akan ,Ghana,No,No,Yes
148-21-8109,Female,GRE,293.0,Top Quarter,2.50-2.99,No,Off-Campus,No,Park UniversityPark University,IELP/HINF,FA22,Persians,Iran,Yes,No,No
915-23-6845,Female,GRE,304.0,Top Half,3.00-3.24,No,Off-Campus,No,Grand Valley State UniversityAllendale Campus,IELP/EDUC,FA22,Asian,India,Yes,No,Yes
885-87-1324,Male,GRE,298.0,Top Quarter,3.25-3.49,No,College Owned/Operated,No,Wilmington UniversityNew Castle,IELP,SP22,Asian,India,Yes,No,Yes
189-73-0608,Female,GRE,306.0,Pass,1.0-1.99,Yes,Off-Campus,No,New England CollegeNew England College - Henniker Campus,EDUC,SM22,White Irish,Ireland,No,No,Yes
041-50-6078,Female,GRE,300.0,Pass,1.0-1.99,Yes,Off-Campus,No,American English CollegeAmerican English College,IELP/MBA,SM22,Asian,China,No,No,Yes
949-61-7496,Female,GRE,327.0,Pass,3.00-3.24,Yes,Off-Campus,No,New York Institute of TechnologyNYIT - Manhattan Campus,TESOL,FA22,Asian,China,No,No,Yes
368-33-6483,Male,GRE,327.0,Top Half,3.25-3.49,No,College Owned/Operated,No,"New York General Consulting, Inc.",MBA,FA22,Arabs,Morocco,Yes,No,No
185-92-3114,Male,GRE,313.0,Top Half,3.50-3.74,No,College Owned/Operated,No,University of the CumberlandsUniversity of the Cumberlands,MSHI,FA22,Kinh,Vietnam,Yes,No,Yes
695-69-8479,Male,GRE,328.0,Bottom Half,3.50-3.74,No,Off-Campus,No,Houston Community College SystemSystem Administration Office,UNDG,FA21,Kinh,Vietnam,Yes,No,Yes
662-24-1995,Female,GRE,329.0,Top Quarter,2.50-2.99,No,College Owned/Operated,No,Gulf Language SchoolNorth American University,TESOL,FA22,Kazakhs,Kazakhstan,Yes,No,No
498-94-5053,Male,GRE,302.0,Bottom Half,3.50-3.74,No,College Owned/Operated,No,Harrisburg University of Science & Technology,IELP/EDUC,SM22,Kazakhs,Kazakhstan,Yes,No,Yes
966-38-3073,Female,GRE,329.0,Pass,3.25-3.49,Yes,Off-Campus,No,Taylor Business Institute,UG,FA21,Arabs,Morocco,No,No,Yes
732-95-4254,Female,GRE,313.0,Top Half,3.00-3.24,No,College Owned/Operated,No,Saint Michael's College,IELP,SP22,Asian,India,Yes,No,Yes
025-13-1937,Male,GRE,315.0,Top Half,3.00-3.24,No,College Owned/Operated,No,Harrisburg University of Science & TechnologyHarrisburg University of Science & Tech,IELP/UG,FA21,Asian,China,Yes,No,Yes
214-14-1982,Male,GRE,325.0,Pass,2.0-2.49,Yes,Off-Campus,No,New England CollegeNew England College - Henniker Campus,MBA,SP22,Asian,China,No,No,Yes
218-88-1554,Male,GRE,298.0,Bottom Quarter,3.00-3.24,No,College Owned/Operated,No,Columbus Techincal College,IELP/MSESHM,SM22,Persians,Iran,Yes,No,Yes
349-83-3769,Female,GRE,294.0,Bottom Half,2.50-2.99,Yes,College Owned/Operated,No,Indiana Wesleyan UniversityIWU- Florence Education Center,UNDG,SM22,Voltaiques,Cote D'Ivoire,Yes,No,Yes
835-14-2744,Male,GRE,292.0,Top Quarter,3.00-3.24,No,College Owned/Operated,No,New York Institute of TechnologyNYIT - Manhattan Campus,IELP,FA22,Asian,India,Yes,No,No
667-80-4165,Male,GRE,304.0,Pass,3.25-3.49,Yes,Off-Campus,No,"Saint Leo University, Inc.",IELP/HINF,SM22,Kazakhs,Kazakhstan,No,No,Yes
815-40-4669,Female,GRE,300.0,Top Half,2.50-2.99,Yes,College Owned/Operated,No,Oklahoma City UniversityOklahoma City University,IELP,FA21,White Irish,Ireland,Yes,No,Yes
963-41-1085,Female,GRE,311.0,Pass,3.00-3.24,Yes,Off-Campus,No,Gulf Language SchoolNorth American University,IELP/TESOL,FA21,Arabs,Saudi Arabia,Yes,No,Yes
440-80-0409,Female,GRE,306.0,Pass,3.25-3.49,Yes,Off-Campus,No,The University of Texas at El PasoUniversity of Texas at El Paso,IELP/MBA,FA22,Persians,Iran,No,No,Yes
386-02-4687,Male,GRE,330.0,Bottom Quarter,2.0-2.49,No,College Owned/Operated,No,Brookdale Community College,IELP/MSESHM,SP22,White Irish,Ireland,No,Yes,Yes
903-87-8364,Male,GRE,307.0,Pass,1.0-1.99,Yes,Off-Campus,No,Taylor Business Institute,IELP/UNDG,SP22,Kazakhs,Kazakhstan,No,No,Yes
574-65-2231,Female,GRE,305.0,Pass,3.00-3.24,Yes,Off-Campus,No,Old Dominion UniversityOld Dominion University,IELP/UNDG,FA21,Indo-Aryan,Bangladesh,Yes,No,No
811-82-3383,Female,GRE,335.0,Bottom Half,3.50-3.74,No,College Owned/Operated,No,Taylor Business Institute,ENVM,SM22,Voltaiques,Cote D'Ivoire,Yes,No,Yes
126-87-1764,Male,GRE,297.0,Pass,3.00-3.24,Yes,Off-Campus,No,Campbellsville UniversityCampbellsville University - Louisville,UG,SM22,White British,United Kingdom,No,No,Yes
103-11-4972,Female,GRE,311.0,Bottom Half,3.00-3.24,No,College Owned/Operated,No,Shaw UniversityShaw University,IELP ,SP22,Chhetri ,Nepal,Yes,No,Yes
927-07-3769,Male,GRE,322.0,Pass,3.25-3.49,Yes,Off-Campus,No,Indiana Wesleyan UniversityIWU- Florence Education Center,MAE,FA21,Arabs,Jordan,No,Yes,No
409-82-3123,Male,GRE,310.0,Pass,3.00-3.24,Yes,Off-Campus,No,Oakland Community CollegeAuburn Hills Campus,IELP,FA22,Arabs,Morocco,No,No,Yes
436-33-8252,Male,GRE,299.0,Pass,1.0-1.99,Yes,Off-Campus,No,Computer Systems InstituteSkokie Campus,IELP/UNDG,SP22,Asian,China,No,No,Yes
557-82-3966,Female,GRE,299.0,Bottom Half,3.75+,No,College Owned/Operated,No,University of the CumberlandsUniversity of the Cumberlands,ENVM,FA22,Indo-Aryan,Bangladesh,Yes,No,Yes
680-31-9527,Male,GRE,305.0,Bottom Half,3.75+,No,College Owned/Operated,No,The University of Texas at ArlingtonThe University of Texas at Arlington,MHSI,SM22,White British,United Kingdom,Yes,No,Yes
179-12-0545,Male,GRE,295.0,Pass,3.00-3.24,Yes,Off-Campus,No,Saint Michael's College,HINF,FA22,White Irish,Ireland,Yes,No,No
219-16-2400,Male,GRE,333.0,Pass,3.00-3.24,Yes,Off-Campus,No,Oakland Community CollegeAuburn Hills Campus,IELP/TESOL,SM22,Kazakhs,Kazakhstan,No,No,Yes
488-95-7222,Male,GRE,321.0,Bottom Half,2.50-2.99,No,Off-Campus,No,American English CollegeAmerican English College,IELP/EDUC,SP22,Filipino,Philippines,Yes,No,Yes
004-99-7988,Male,GRE,332.0,Pass,3.25-3.49,Yes,Off-Campus,No,Illinois Eastern Community CollegesWabash Valley College,EDUC,FA21,Arabs,Morocco,No,No,Yes
391-38-9307,Male,GRE,330.0,Pass,3.00-3.24,Yes,Off-Campus,No,Webster UniversityWebster University,IELP/UNDG,FA22,Arabs,Morocco,No,No,Yes
238-32-7594,Male,GRE,300.0,Pass,2.50-2.99,Yes,Off-Campus,No,Rockford UniversityRockford University,MBA,FA21,Filipino,Philippines,No,No,Yes
733-59-0350,Female,GRE,291.0,Bottom Half,2.50-2.99,No,Off-Campus,No,Campbellsville UniversityCampbellsville University,MHSI,FA21,Asian,China,Yes,No,Yes
539-00-1356,Female,GRE,292.0,Bottom Half,3.00-3.24,Yes,College Owned/Operated,No,University of CincinnatiUniversity of Cincinnati,TESOL,FA21,Arabs,Morocco,Yes,No,Yes
930-60-1474,Female,GRE,313.0,Top Half,3.00-3.24,No,College Owned/Operated,No,St. Cloud State UniversitySt. Cloud State University,MSHI,FA21,Indo-Aryan,Bangladesh,Yes,No,Yes
170-41-9171,Female,GRE,329.0,Pass,2.0-2.49,Yes,Off-Campus,No,University of the Potomac,MSHI,FA21,Indo-Aryan,Bangladesh,No,No,Yes
356-16-8997,Male,GRE,307.0,Top Half,3.75+,No,College Owned/Operated,No,Indiana Wesleyan UniversityIWU- Florence Education Center,IELP/ENVM,SP22,Filipino,Philippines,Yes,No,Yes
836-64-9017,Male,GRE,327.0,Bottom Half,2.50-2.99,No,College Owned/Operated,No,Computer Systems InstituteSkokie Campus,IELP/MBA,FA21,Asian,China,Yes,No,Yes
126-26-5159,Female,GRE,317.0,Pass,3.00-3.24,Yes,Off-Campus,No,Owens State Community CollegeOwens Community  College at Findlay,UNDG,FA21,Arabs,Jordan,No,No,Yes
643-23-7941,Male,GRE,333.0,Top Half,3.25-3.49,Yes,College Owned/Operated,No,"University of Maryland, Baltimore CountyUniversity of Maryland, Baltimore County",IELP/UNDG,SP22,Asian,India,Yes,No,Yes
290-30-1389,Male,GRE,322.0,Top Quarter,3.00-3.24,No,College Owned/Operated,No,University of the CumberlandsUniversity of the Cumberlands,IELP/TESOL,FA21,Akan ,Ghana,Yes,No,No
043-07-2231,Male,GRE,301.0,Pass,1.0-1.99,Yes,Off-Campus,No,California Preparatory CollegeCalifornia Preparatory College,MBA,SM22,Arabs,Jordan,No,No,Yes
982-59-6293,Male,GRE,305.0,Pass,2.50-2.99,Yes,Off-Campus,No,New York Institute of TechnologyNYIT - Manhattan Campus,HINF,SM22,Asian,India,No,No,Yes
205-59-3879,Male,GRE,291.0,Top 10,3.50-3.74,No,College Owned/Operated,No,Dakota State UniversityDakota State University,UG,SM22,Arabs,Jordan,Yes,No,Yes
572-53-7667,Male,GRE,320.0,Pass,3.00-3.24,Yes,Off-Campus,No,Western Illinois UniversityWestern Illinois University,IELP,SP22,Asian,India,No,No,Yes
414-48-2459,Female,GRE,323.0,Pass,3.00-3.24,Yes,Off-Campus,No,Discovery School LLC dba Discovery Learning CenterDiscovery Learning Center,UNDG,FA22,Arabs,Saudi Arabia,No,No,Yes
083-87-2135,Female,GRE,306.0,Pass,3.25-3.49,Yes,Off-Campus,Yes,Alliant International University,IELP/HINF,FA21,Akan ,Ghana,No,No,Yes
647-46-7537,Female,GRE,305.0,Pass,2.50-2.99,Yes,Off-Campus,No,Owens State Community CollegeOwens Community  College at Findlay,MHSI,SM22,White Irish,Ireland,No,Yes,No
127-49-5572,Male,GRE,313.0,Top Half,3.25-3.49,No,College Owned/Operated,No,Texas A&M University-CommerceTexas A&M University-Commerce,IELP/ENVM,SP22,Arabs,Jordan,Yes,No,Yes
341-23-9139,Male,GRE,315.0,Pass,3.25-3.49,Yes,Off-Campus,No,Campbellsville UniversityCampbellsville University,UNDG,SP22,White Irish,Ireland,No,Yes,No
952-33-6523,Female,GRE,297.0,Pass,3.25-3.49,Yes,Off-Campus,No,Trine UniversityTrine University-Detroit MI Regional Ctr,ENVM,FA22,Akan ,Ghana,Yes,No,Yes
